,city,country,cloudiness,date,humidity,lat,lon,temp_max,wind_speed
94,kavieng,PG,0,1537551815,100,-2.57,150.8,82.9,5.19
95,coos bay,US,1,1537548960,74,43.37,-124.22,57.92,3.36
96,beni,CD,32,1537551816,94,0.49,29.47,69.22,3.62
97,te anau,NZ,12,1537551450,81,-45.41,167.72,27.73,2.39
98,aleksandrov gay,RU,0,1537551816,77,50.14,48.57,58.15,8.77
99,kenai,US,1,1537548960,92,60.55,-151.26,42.98,5.19
100,lavrentiya,RU,32,1537551816,97,65.58,-170.99,44.29,16.37
101,marcona,,,,,,,,
102,hambantota,LK,80,1537551432,100,6.12,81.12,76.78,12.68
103,mataura,NZ,12,1537551388,87,-46.19,168.86,31.42,3.4
104,suntar,RU,0,1537551817,82,62.16,117.65,34.57,4.74
105,port alfred,ZA,0,1537551371,95,-33.59,26.89,62.74,13.47
106,aragarcas,BR,20,1537551817,34,-15.9,-52.25,95.95,5.86
107,nome,US,75,1537550100,64,30.04,-94.42,90.32,6.93
108,nhulunbuy,AU,48,1537549200,83,-12.18,136.78,75.2,8.05
109,paamiut,GL,88,1537551522,100,61.99,-49.67,36.73,3.96
110,iqaluit,CA,90,1537547400,92,63.75,-68.52,30.2,4.7
111,qaanaaq,GL,76,1537551368,100,77.48,-69.36,20.62,13.69
112,arraial do cabo,BR,75,1537549200,88,-22.97,-42.02,78.8,4.7
113,hithadhoo,MV,64,1537551412,100,-0.6,73.08,81.46,4.63
114,kostomuksha,RU,80,1537551818,72,64.59,30.6,51.85,8.66
115,cherskiy,RU,92,1537551434,94,68.75,161.3,37.99,2.95
116,hobart,AU,0,1537549200,57,-42.88,147.33,50,8.05
117,suez,EG,0,1537551818,43,29.97,32.54,78.85,7.99
118,palabuhanratu,,,,,,,,
119,hundorp,NO,92,1537551819,100,61.55,9.94,42.22,10.67
120,pisco,PE,90,1537549200,30,-13.71,-76.2,71.6,8.05
121,narsaq,GL,75,1537548600,90,60.91,-46.05,41,12.75
122,floro,NO,75,1537550400,87,61.6,5.03,48.2,8.05
123,barrow,AR,0,1537551374,36,-38.31,-60.23,71.2,14.58
124,rapsani,GR,0,1537551819,95,39.9,22.55,74.08,9.78
125,turan,RU,0,1537551819,79,52.15,93.92,25.66,1.61
126,alihe,CN,92,1537551820,100,50.57,123.73,44.56,3.18
127,marawi,PH,32,1537551515,98,8,124.29,66.88,1.39
128,emporia,US,1,1537548780,60,38.4,-96.18,64.94,12.75
129,mega,ET,0,1537551820,89,4.06,38.32,61.57,5.64
130,wilson,US,75,1537549800,62,35.72,-77.92,82.4,4.7
131,verkh-usugli,RU,76,1537551821,91,52.7,115.17,38.08,8.99
132,victoria,BN,75,1537549200,100,5.28,115.24,75.2,3.62
133,samusu,,,,,,,,
134,mwene-ditu,CD,36,1537551821,50,-7.01,23.45,78.22,7.87
135,general pico,AR,8,1537551821,30,-35.66,-63.75,82,6.64
136,labytnangi,RU,92,1537551438,92,66.66,66.39,48.43,8.66
137,kalispell,US,90,1537548900,79,48.2,-114.32,51.08,3.36
138,goure,NE,8,1537551822,37,13.98,10.27,89.02,8.55
139,novo aripuana,BR,20,1537551822,53,-5.12,-60.38,90.01,3.74
140,cidreira,BR,0,1537551365,89,-30.17,-50.22,75.88,3.96
141,port-gentil,GA,75,1537549200,88,-0.72,8.78,78.8,13.87
142,cockburn town,TC,76,1537551546,96,21.46,-71.14,84.43,14.7
143,savannah bight,HN,48,1537551822,97,16.45,-85.85,84.07,11.45
144,georgetown,GY,40,1537549200,88,6.8,-58.16,80.6,6.93
145,vilyuysk,RU,8,1537551517,90,63.75,121.63,35.02,6.98
146,louisbourg,,,,,,,,
147,tuatapere,NZ,20,1537551431,100,-46.13,167.69,40.96,5.53
148,illoqqortoormiut,,,,,,,,
149,pangnirtung,CA,75,1537545600,55,66.15,-65.72,33.8,6.93
150,tasiilaq,GL,75,1537548600,47,65.61,-37.64,37.4,21.92
151,huai thalaeng,TH,32,1537549200,94,15,102.65,75.2,2.95
152,clyde river,CA,75,1537545600,100,70.47,-68.59,28.4,4.7
153,fairbanks,US,90,1537549080,93,64.84,-147.72,46.4,4.41
154,caravelas,BR,0,1537551421,99,-17.73,-39.27,77.14,16.15
155,rantepao,ID,44,1537551824,100,-2.97,119.9,59.14,1.72
156,coihueco,CL,75,1537549200,59,-36.63,-71.83,66.2,8.05
157,ponta do sol,BR,48,1537551451,100,-20.63,-46,71.2,5.19
158,torbay,CA,20,1537545600,100,47.66,-52.73,46.4,12.75
159,huntsville,US,40,1537550100,78,34.73,-86.59,89.96,5.82
160,nizhneyansk,,,,,,,,
161,kaarina,FI,8,1537550400,68,60.41,22.37,66.2,13.87
162,ouro fino,BR,40,1537549200,51,-22.28,-46.37,80.6,8.05
163,iquitos,PE,24,1537549200,319,-3.75,-73.25,42.8,4.7
164,malinovoye ozero,RU,12,1537551825,54,51.68,79.77,56.53,7.09
165,sitka,US,92,1537551447,54,37.17,-99.65,68.23,20.51
166,gurupi,BR,48,1537551825,78,-11.73,-49.07,86.68,3.96
167,lebu,ET,40,1537545600,67,8.96,38.73,60.8,6.93
168,chapais,CA,90,1537549140,100,49.78,-74.86,51.8,18.34
169,amderma,,,,,,,,
170,havoysund,NO,75,1537550400,76,71,24.66,51.8,13.87
171,puerto ayora,EC,40,1537549200,54,-0.74,-90.35,78.8,16.11
172,port elizabeth,US,90,1537549320,71,39.31,-74.98,75.92,5.82
173,xiaoyi,CN,0,1537551826,49,37.15,111.77,38.71,3.96
174,niimi,JP,75,1537549200,83,34.97,133.47,73.4,5.82
175,phalombe,MW,0,1537551827,34,-15.81,35.65,72.1,8.66
176,yellapur,IN,92,1537551827,97,14.96,74.71,69.85,4.74
177,bud,NO,75,1537550400,81,62.91,6.91,50,5.82
178,abhar,IR,0,1537551827,75,36.14,49.22,50.05,1.39
179,fortuna,ES,0,1537549200,48,38.18,-1.13,86,12.75
180,brokopondo,SR,40,1537549200,52,5.06,-54.98,91.4,6.93
181,port hardy,CA,90,1537545600,100,50.7,-127.42,50,17.22
182,husavik,CA,8,1537551828,100,50.56,-96.99,51.13,10.33
183,yekaterinoslavka,RU,92,1537551828,88,54.34,72.46,52.3,11.23
184,abong mbang,CM,32,1537551828,84,3.98,13.18,74.8,3.18
185,bereda,ES,75,1537549200,100,43.27,-7.54,64.4,2.17
186,baturaja,ID,64,1537551828,87,-4.12,104.17,76.42,2.73
187,americus,US,75,1537548900,36,32.07,-84.23,91.4,6.93
188,dikson,RU,88,1537551442,96,73.51,80.55,39.61,11.01
189,tura,IN,12,1537551449,94,25.52,90.21,75.25,2.51
190,kodiak,US,1,1537548780,61,39.95,-94.76,66.92,13.87
191,hereford,GB,20,1537550400,54,52.06,-2.72,59,10.29
192,saint-philippe,CA,90,1537548900,93,45.36,-73.48,66.2,26.4
193,cap malheureux,MU,20,1537549200,73,-19.98,57.61,73.4,10.29
194,taoudenni,ML,32,1537551453,14,22.68,-3.98,99.82,5.97
195,tsihombe,,,,,,,,
196,balimo,,,,,,,,
197,nikolskoye,RU,0,1537549200,77,59.7,30.79,64.4,11.18
198,hihifo,,,,,,,,
199,sembe,,,,,,,,
200,coquimbo,CL,0,1537549200,63,-29.95,-71.34,64.4,18.34
201,honiara,SB,88,1537551860,100,-9.43,159.96,73.18,1.5
202,vaitupu,,,,,,,,
203,bolshoye murashkino,RU,0,1537551860,89,55.78,44.78,57.34,6.64
204,oranjemund,ZA,44,1537551861,93,-28.55,16.43,57.79,30.47
205,the valley,AI,40,1537549200,66,18.22,-63.06,89.6,13.87
206,airai,TL,0,1537551534,86,-8.93,125.41,60.76,1.95
207,kuche,,,,,,,,
208,inderborskiy,,,,,,,,
209,barcelos,PT,0,1537549200,77,41.53,-8.62,69.8,12.75
210,novaya chigla,RU,8,1537551861,81,51.22,40.48,57.52,4.41
211,palembang,ID,40,1537549200,100,-2.99,104.76,71.6,3.36
212,sur,OM,0,1537551446,89,22.57,59.53,84.43,4.85
213,salalah,OM,0,1537548600,83,17.01,54.1,77,2.24
214,severomuysk,RU,80,1537551862,90,56.17,113.57,27.64,1.83
215,umzimvubu,,,,,,,,
216,bengkulu,,,,,,,,
217,gawler,AU,0,1537549200,87,-34.6,138.75,48.2,4.7
218,saldanha,PT,20,1537551441,38,41.42,-6.55,74.8,3.74
219,saint-augustin,FR,0,1537549200,68,44.83,-0.61,66.2,8.05
220,paoua,CF,48,1537551862,86,7.24,16.43,72.73,6.64
221,tautira,PF,75,1537549200,73,-17.73,-149.15,75.2,4.7
222,kirkcudbright,GB,48,1537551863,100,54.84,-4.04,55.09,25.55
223,vao,EE,24,1537551503,61,59.1,26.19,71.38,13.69
224,ossora,RU,88,1537551863,100,59.24,163.07,46.45,2.84
225,kavaratti,IN,56,1537551372,100,10.57,72.64,80.65,11.23
226,abu samrah,SY,0,1537551423,44,35.3,37.18,77.59,9.66
227,vestmanna,FO,92,1537550400,93,62.16,-7.17,44.6,28.86
228,pevek,RU,0,1537551417,100,69.7,170.27,41.23,3.62
229,amahai,ID,88,1537551867,100,-3.31,129,78.22,7.65
230,vardo,US,90,1537548900,76,39.62,-77.74,75.2,11.41
231,bokajan,IN,64,1537551867,96,26.02,93.78,74.08,2.17
232,grand river south east,,,,,,,,
233,okato,NZ,32,1537551867,100,-39.19,173.88,50.32,22.3
234,meulaboh,ID,100,1537551867,100,4.14,96.13,78.4,1.61
235,guerrero negro,MX,0,1537551516,57,27.97,-114.04,80.2,6.87
236,keetmanshoop,NA,64,1537551868,15,-26.57,18.15,73.45,6.76
237,pangai,TO,20,1537549200,94,-19.8,-174.35,75.2,10.29
