,city,country,cloudiness,date,humidity,lat,lon,temp_max,wind_speed
414,kirakira,SB,76,1537551414,100,-10.46,161.92,79.84,12.24
415,aswan,EG,0,1537549200,21,24.09,32.9,95,9.17
416,karratha,AU,0,1537551365,83,-20.74,116.85,54.1,2.84
417,pahrump,US,1,1537549080,5,36.21,-115.98,82.94,3.36
418,mirpur mathelo,PK,0,1537551958,55,28.02,69.55,84.7,9.78
419,vondrozo,MG,0,1537551958,94,-22.82,47.32,61.12,5.41
420,padang,ID,64,1537551506,100,-0.92,100.36,82.36,5.3
421,brewster,US,1,1537550100,59,41.76,-70.08,68,16.11
422,arlit,NE,24,1537551513,23,18.74,7.39,91.63,2.73
423,charcas,MX,0,1537551958,74,23.13,-101.11,72.1,5.64
424,ahipara,NZ,56,1537551514,100,-35.17,173.16,51.58,12.12
425,sibolga,ID,44,1537551959,100,1.74,98.78,68.59,1.95
426,do gonbadan,IR,20,1537549200,6,30.36,50.8,95,9.17
427,mount isa,AU,64,1537551000,13,-20.73,139.49,64.4,9.17
428,bandarban,BD,40,1537549200,83,22.2,92.22,82.4,3.36
429,bekwai,GH,80,1537551959,92,6.46,-1.58,80.11,7.43
430,eureka,US,1,1537548900,80,40.8,-124.16,59,4.41
431,tunghsiao,,,,,,,,
432,krasnoselkup,,,,,,,,
433,axim,GH,92,1537551501,99,4.87,-2.24,78.85,13.8
434,annavasal,IN,40,1537549200,55,10.46,78.7,86,2.73
435,kichera,RU,0,1537551960,100,55.93,110.1,32.77,5.3
436,lujan,AR,88,1537551961,89,-46.57,-67.67,41.95,8.77
437,taonan,CN,0,1537551961,73,45.34,122.78,44.2,9.22
438,kendari,ID,20,1537551961,93,-3.99,122.52,69.58,2.62
439,cockburn harbour,,,,,,,,
440,vallenar,CL,0,1537551961,63,-28.58,-70.76,72.64,2.95
441,sentyabrskiy,,,,,,,,
442,anshun,CN,92,1537551696,98,26.25,105.93,64.45,3.74
443,bolshiye uki,,,,,,,,
444,viransehir,TR,0,1537551962,45,37.24,39.76,71.11,4.97
445,yulara,AU,40,1537549200,93,-25.24,130.99,48.2,5.82
446,port pirie,AU,0,1537549200,81,-33.18,138.01,50,5.82
447,coihaique,CL,90,1537549200,66,-45.58,-72.07,51.8,3.36
448,tatawin,,,,,,,,
449,itacoatiara,BR,12,1537551737,44,-3.14,-58.44,94.78,6.42
450,glendive,US,90,1537550100,79,47.11,-104.71,44.6,12.75
451,baicheng,CN,0,1537551963,73,45.61,122.87,44.2,9.22
452,tiznit,MA,44,1537551963,79,29.7,-9.73,75.43,3.06
453,smirnykh,RU,0,1537551963,81,49.74,142.83,32.86,2.17
454,limon,US,1,1537548900,33,39.26,-103.69,62.06,12.75
455,birin,SY,0,1537551963,77,35.01,36.67,67.6,5.53
456,luwuk,ID,12,1537551964,100,-0.95,122.79,73.18,5.64
457,yining,CN,88,1537551964,93,29.04,114.56,70.75,2.51
458,magaria,NE,48,1537551964,41,13,8.91,88.03,8.77
459,nan,TH,64,1537551964,95,18.78,100.78,72.55,1.72
460,shumskiy,RU,0,1537551964,92,54.83,99.13,30.43,2.73
461,leningradskiy,RU,24,1537551410,94,69.38,178.42,41.23,5.41
462,kerouane,GN,24,1537551965,88,12.23,-12.34,78.22,2.62
463,kobelyaky,UA,8,1537551965,80,49.15,34.2,66.88,2.17
464,gibara,CU,75,1537548600,52,21.11,-76.13,93.2,8.05
465,maceio,BR,40,1537549200,51,-9.67,-35.74,82.4,14.99
466,bolungarvik,,,,,,,,
467,charters towers,AU,0,1537551419,80,-20.07,146.27,59.32,9.22
468,gushikawa,JP,20,1537549200,78,26.35,127.87,82.4,1.12
469,perth,GB,20,1537550400,66,56.4,-3.43,55.4,9.17
470,poltavka,RU,92,1537551966,96,54.36,71.76,51.13,12.12
471,westport,IE,40,1537551000,81,53.8,-9.52,50,14.99
472,cheremukhovo,RU,0,1537551966,92,56.23,46.23,56.8,4.97
473,qaqortoq,GL,75,1537548600,94,60.72,-46.03,41,12.75
474,saint-pierre,FR,0,1537549200,48,48.95,4.24,62.6,12.75
475,tonekabon,IR,20,1537549200,83,36.82,50.88,71.6,2.24
476,mukhen,RU,44,1537551967,78,48.19,136.14,47.35,5.19
477,maningrida,AU,0,1537551967,74,-12.05,134.23,73.99,12.68
478,constitucion,MX,20,1537548000,56,23.99,-104.67,69.8,3.96
479,guderup,DK,40,1537551000,71,54.99,9.87,53.6,12.75
480,colleyville,US,90,1537551120,78,32.88,-97.16,85.1,13.87
481,todos santos,MX,40,1537548240,58,23.45,-110.23,86,11.41
482,ostrovnoy,RU,0,1537551532,73,68.05,39.51,47.53,20.4
483,doha,QA,0,1537549200,63,25.29,51.53,93.2,6.93
484,angoche,MZ,64,1537551968,100,-16.23,39.91,76.33,7.43
485,pachmarhi,IN,92,1537551968,98,22.47,78.44,71.56,7.76
486,belaya gora,RU,80,1537551969,97,68.54,146.19,33.76,3.06
487,folkestone,US,40,1537551300,55,34.1,-80.94,87.98,3.74
488,saint anthony,US,1,1537548960,7,43.97,-111.68,62.06,10.29
489,manama,AE,0,1537549200,59,25.33,56.02,95,4.7
490,batagay,RU,0,1537551969,72,67.65,134.64,18.91,2.73
491,laguna,MX,20,1537548120,66,27.52,-110.01,84.2,5.82
492,darnah,LY,0,1537551908,100,32.77,22.64,76.96,14.25
493,booue,GA,80,1537551970,82,-0.09,11.94,79.66,4.07
494,esperance,TT,40,1537549200,100,10.24,-61.45,77,10.29
495,avera,US,40,1537548900,51,33.19,-82.53,87.98,5.82
496,kaeo,NZ,36,1537551534,98,-35.1,173.78,49.6,10.67
497,riyadh,SA,0,1537549200,13,24.63,46.72,95,4.7
498,kangaatsiaq,GL,48,1537551970,100,68.31,-53.46,34.66,4.85
499,sawakin,SD,0,1537549200,49,19.1,37.33,93.2,3.85
500,bubaque,GW,20,1537549200,74,11.28,-15.83,84.2,11.41
501,allapalli,IN,92,1537551971,100,19.43,80.06,73.63,11.12
502,qena,EG,0,1537549200,33,26.16,32.72,91.4,6.93
503,mitu,IR,0,1537551971,35,36.2,46.09,59.14,3.62
504,conakry,GN,80,1537551971,100,9.52,-13.7,80.65,20.85
505,bet shemesh,IL,0,1537550400,61,31.75,34.99,80.6,4.7
506,yeppoon,AU,0,1537551000,72,-23.13,150.74,60.8,5.82
507,araouane,ML,0,1537551972,22,18.9,-3.53,96.22,2.95
508,pochutla,MX,75,1537548300,66,15.74,-96.47,87.8,9.17
509,horki,BY,0,1537551972,75,54.29,30.98,63.73,8.88
510,san policarpo,PH,80,1537551973,100,12.18,125.51,77.32,4.74
511,kurilsk,RU,64,1537551434,96,45.23,147.88,49.96,2.62
512,kanigoro,ID,8,1537551973,93,-8.13,112.22,75.52,11.79
513,lakatoro,VU,92,1537551973,100,-16.11,167.42,73.9,9.22
514,jacksonville,US,75,1537548960,65,30.33,-81.66,89.6,13.87
515,khor,RU,68,1537551973,78,47.88,134.96,50.05,5.3
516,san ramon,NI,75,1537549200,73,12.92,-85.84,75.2,4.7
517,orativ,UA,0,1537551974,63,49.19,29.53,62.29,7.2
518,jamapa,MX,20,1537548060,66,19.04,-96.24,87.8,4.85
519,havre-saint-pierre,CA,92,1537551754,86,50.23,-63.6,51.31,8.21
520,liuhe,CN,8,1537551974,93,42.28,125.73,49.24,4.63
521,khatanga,RU,92,1537551425,95,71.98,102.47,42.85,15.59
522,arkhangelos,,,,,,,,
523,changde,CN,68,1537551975,78,29.04,111.68,69.85,2.73
524,coracora,PE,88,1537551975,39,-15.02,-73.78,60.31,3.4
525,itarema,BR,0,1537551975,52,-2.92,-39.92,90.01,18.61
526,beloha,MG,0,1537551451,90,-25.17,45.06,68.5,9.33
527,beaumont,US,75,1537550100,64,30.09,-94.1,90.32,6.93
528,semporna,MY,75,1537549200,94,4.48,118.61,75.2,6.64
529,masuda,JP,75,1537548900,81,34.68,131.85,77,5.82
530,zolotinka,,,,,,,,
531,astoria,US,1,1537548900,90,46.19,-123.83,55.94,2.73
532,harnosand,SE,75,1537550400,93,62.63,17.94,57.2,8.05
533,quatre cocos,MU,20,1537549200,73,-20.21,57.76,73.4,10.29
534,hoquiam,US,90,1537548780,83,46.98,-123.89,62.06,4.7
535,hay river,CA,75,1537549200,49,60.82,-115.79,32,4.7
536,sao filipe,CV,0,1537551516,90,14.9,-24.5,80.74,14.81
537,wawa,NG,32,1537551978,88,9.9,4.41,79.21,5.86
538,pando,UY,0,1537549200,57,-34.72,-55.96,77,12.75
539,reyes,BO,40,1537549200,62,-14.3,-67.34,89.6,4.7
540,kurbnesh,AL,0,1537550400,83,41.77,20.09,73.4,2.24
541,jipijapa,EC,75,1537549200,83,-1.35,-80.58,77,6.93
542,karasjok,NO,0,1537550400,50,69.47,25.52,55.4,40.26
543,doctor pedro p. pena,,,,,,,,
544,dunedin,NZ,0,1537551240,81,-45.87,170.5,29.26,3.74
545,busayra,JO,32,1537551979,53,30.74,35.61,70.39,2.17
546,port lincoln,AU,0,1537551494,100,-34.72,135.86,48.7,1.61
547,matara,PE,75,1537549200,50,-13.74,-72.9,57.2,13.87
548,hargeysa,SO,0,1537551980,37,9.56,44.06,69.49,5.41
549,gap,FR,8,1537551528,50,44.56,6.08,69.22,5.53
550,san patricio,PY,0,1537551444,70,-26.98,-56.83,84.25,3.29
551,norman wells,CA,20,1537545600,86,65.28,-126.83,26.6,5.82
552,geraldton,CA,90,1537546740,93,49.72,-86.95,41,21.92
553,alofi,NU,40,1537549200,88,-19.06,-169.92,73.4,9.17
554,miri,NG,0,1537551981,58,10.31,9.75,80.65,5.75
555,baruun-urt,MN,48,1537551981,77,46.68,113.28,37.27,13.91
556,katha,,,,,,,,
557,coria,ES,20,1537551981,38,39.98,-6.54,79.39,2.39
558,hendaye,FR,75,1537551000,94,43.37,-1.77,69.8,1.12
559,hobyo,SO,0,1537551982,83,5.35,48.53,77.32,22.3
560,dali,CN,8,1537551982,100,25.6,100.24,56.08,2.39
561,christchurch,NZ,0,1537551000,100,-43.53,172.64,35.6,3.36
562,virginia beach,US,20,1537550100,64,36.85,-75.98,82.04,8.05
563,hamilton,BM,75,1537548900,79,32.3,-64.78,84.2,18.34
564,cam pha,,,,,,,,
565,phan thiet,VN,8,1537551982,100,10.93,108.1,76.96,3.96
566,saint-joseph,FR,0,1537549200,65,43.56,6.97,87.8,5.82
567,muros,ES,40,1537549200,77,42.77,-9.06,69.8,3.36
568,ussel,FR,92,1537551983,97,45.55,2.31,51.85,2.84
569,muzquiz,,,,,,,,
570,dragor,BG,76,1537551000,49,42.23,24.3,69.8,3.36
571,harrison,US,40,1537550100,58,39.26,-84.82,87.44,14.99
572,harper,US,90,1537550100,72,30.3,-99.24,78.98,9.17
573,los llanos de aridane,ES,75,1537549200,64,28.66,-17.92,75.2,10.29
574,egvekinot,RU,80,1537551984,97,66.32,-179.17,35.56,2.17
575,la palma,CO,8,1537551984,51,5.36,-74.39,83.8,2.51
576,andenes,,,,,,,,
577,santa isabel,CO,40,1537549200,51,4.71,-75.1,86,10.29
578,koboldo,,,,,,,,
579,namibe,AO,48,1537551418,97,-15.19,12.15,67.51,10.22
580,yerbogachen,RU,0,1537551440,85,61.28,108.01,33.04,2.73
581,manokwari,ID,44,1537551985,100,-0.87,134.08,80.83,1.83
582,mchinji,MW,0,1537551986,29,-13.8,32.89,71.83,12.68
583,saraland,US,40,1537551300,62,30.82,-88.07,89.96,3.36
584,cayenne,GF,75,1537549200,62,4.94,-52.33,89.6,13.87
585,zambezi,ZM,0,1537551454,26,-13.55,23.12,78.13,8.21
586,jeremie,HT,44,1537551986,79,18.65,-74.12,87.58,5.41
587,barawe,,,,,,,,
588,norsup,VU,92,1537551986,100,-16.07,167.38,73.9,9.22
589,varkkallai,IN,20,1537551000,83,8.73,76.71,80.6,3.36
590,novooleksiyivka,UA,8,1537551987,56,48.49,32.24,67.33,6.98
591,bahir dar,ET,80,1537551987,96,11.59,37.39,58.33,2.28
592,zhicheng,CN,0,1537551987,79,35.04,112.59,55,2.73
593,roald,NO,75,1537550400,87,62.58,6.12,50,10.29
594,olinda,EC,40,1537549200,61,-2.03,-79.75,82.4,10.29
595,tilichiki,RU,80,1537551988,98,60.47,166.1,42.58,2.62
596,aksay,RU,0,1537551988,39,47.27,39.86,70.3,10.67
597,winneba,GH,88,1537551988,82,5.35,-0.62,79.48,10.67
598,ondorhaan,,,,,,,,
599,nyurba,RU,8,1537551519,73,63.29,118.35,37.18,6.2
600,hualmay,PE,12,1537551522,60,-11.1,-77.61,72.01,4.85
601,waw,,,,,,,,
602,takoradi,GH,80,1537551457,97,4.89,-1.75,78.22,10
603,bindi,NG,12,1537551989,44,12.86,8.84,86.14,9.22
604,ormara,PK,0,1537551455,94,25.21,64.64,77.95,7.87
605,broken hill,AU,76,1537551439,67,-31.97,141.45,49.96,2.95
606,litovko,RU,68,1537551989,83,49.24,135.18,46.45,4.18
607,farafenni,GM,8,1537551989,55,13.57,-15.6,94.6,7.87
608,sungairaya,ID,88,1537551989,95,0.7,108.9,75.61,2.51
609,alice springs,AU,0,1537549200,93,-23.7,133.88,44.6,4.7
610,xining,CN,12,1537551990,100,36.62,101.77,33.58,2.84
611,bulnes,CL,75,1537549200,59,-36.74,-72.3,66.2,8.05
612,mattru,SL,92,1537551990,92,7.62,-11.83,77.05,7.31
613,ghanzi,BW,8,1537551990,30,-21.7,21.65,73.18,5.75
614,bitung,ID,20,1537551000,94,1.44,125.19,73.4,1.12
615,smoky lake,CA,92,1537551991,62,54.11,-112.47,35.92,6.64
616,ambilobe,MG,0,1537551991,56,-13.19,49.05,76.6,17.05
617,san rafael del sur,NI,40,1537549200,66,11.85,-86.44,87.8,18.34
618,lata,IN,92,1537551463,100,30.78,78.62,55.09,1.72
619,swift current,CA,90,1537546140,93,50.29,-107.8,41,16.11
620,cordoba,CO,0,1537551991,33,5.59,-73.79,71.92,6.64
621,shush,RU,0,1537551992,86,55.6,89.45,44.38,5.19
622,naron,ES,75,1537551000,100,43.52,-8.15,64.4,2.24
623,illapel,CL,0,1537551970,73,-31.63,-71.17,68.05,3.4
624,jiangyou,CN,36,1537551992,92,31.78,104.73,62.74,2.62
625,rio gallegos,AR,40,1537549200,69,-51.62,-69.22,39.2,4.7
626,koumac,NC,0,1537551992,98,-20.56,164.28,63.55,9.78
627,paciran,ID,68,1537551511,94,-6.9,112.33,72.01,3.51
628,necochea,AR,8,1537551524,46,-38.55,-58.74,69.4,15.7
629,katsuura,JP,75,1537550400,94,33.93,134.5,78.8,5.82
630,gambo,NG,64,1537551993,63,11.96,9.63,82.45,4.97
631,santarem,,,,,,,,
632,san martin,US,5,1537552020,27,37.08,-121.61,78.8,3.51
633,weyburn,CA,32,1537551994,100,49.67,-103.85,47.08,9.22
634,port moresby,PG,75,1537549200,94,-9.47,147.16,77,13.87
635,dondo,MZ,0,1537551994,89,-19.62,34.74,74.53,8.77
636,belyy yar,RU,0,1537549200,86,53.6,91.39,41,2.24
637,liwale,TZ,20,1537551994,45,-9.8,37.92,78.31,5.97
638,kasongo-lunda,CD,20,1537551994,87,-6.48,16.82,75.34,1.72
639,ranong,TH,88,1537551995,100,9.96,98.62,81.37,6.98
640,kruisfontein,ZA,0,1537551442,90,-34,24.73,60.22,19.06
641,amravati,IN,92,1537551995,99,20.93,77.76,71.56,11.45
642,mount gambier,AU,0,1537551192,90,-37.83,140.78,47.8,3.74
643,nykobing,,,,,,,,
644,amuntai,ID,0,1537551995,84,-2.42,115.25,72.46,2.17
645,zalantun,CN,80,1537551996,68,48,122.72,44.38,2.51
646,barraute,CA,92,1537551996,97,48.43,-77.63,68.23,17.94
647,filadelfia,PY,24,1537551996,50,-22.35,-60.04,94.78,9.44
648,kegayli,,,,,,,,
649,zhigansk,RU,92,1537551408,82,66.77,123.37,38.08,8.21
650,beringovskiy,RU,92,1537551416,99,63.05,179.32,46.36,13.47
